,
Iedereen,everybody
eigen,personal / own
manier,way / method / manner
Toch,Anyway / Never the less / However
verschillende,different / various
dezelfde,same
onthoudt,remember / memorize
Zoek uit ,find out / figure out
Neem,Take
even,Just
omgeving,enviroment / surroundings / area
Denk,think
teveel,too much / too many / excess
veel,much / many
dingen,things / stuff
inhoud,content
even,just / for a moment / for a while
over,about / over / on
weer,again / once again
iemand,someone
weet,to know
zeker,definetly / sure / certain
begrepen,understood
verteld,told
vertel,tell
aan iemand,to somebody / to anybody
elkaar,each other
hetzelfde,same / equal / indentical
bewoners,residents
hardloopwedstrijd,running race
jaarlijkse,annual / yearly
verkeer,traffic
mogelijk,possible
wedstrijd,competition 
weinig,little / few
last,load / burden / trouble
Ongeveer,approximetly / about / arround
hardlopers,runners
doen mee,participate / join in / get involved
heb er zin in,feel like it
veilig,safe / secure
sluiten,close 
aantal,number / amount
af,off
te halen,to retrieve / to remove
bieden,offer / provide
medewerking,collaboration / cooperation
krijgen,get / recieve
roep,call / shout
uitnodigen,invite / invitation
weghalen,remove / removal
verdieping,floor
bezorgen,deliver
hiervoor,for this / for this reason
gebruikmaken,use / utilize
verzamelen,collect
bedrag,amount / sum
hieronder,bellow / hear-after / following
begane grond ,first floor
plek,place / spot
bepalen,define / determine 
rondom,around / about / all around
geldig,valid
levertijd,delivery time
ten minste,at least / no less then
weten,know / be aware
meenemen,bring / take it with you
bedrijf,company
kanovaren,canoing
hoeft,need / require / want
dus,so / thus
mee,along with 
raden,guess
nat,wet
word,be / become 
handdoeken,towels
erbij,there
aanmelden,sign up
vergeten,forget
misschien,maybe
ophalen,pick up / collect
brengen,bring
haal,get / fetch
rits,zipper
portemonnee,wallet
bericht,message / text message
sturen,send
veld,field
kiezen,choose
doorgeven,pass on / comunicate / deliver
samen,together
kleedkamers,locker rooms
gebruiken,use / operate
worden,be / become 
aantrekken,put on / wear
aanmeldt,sign up
meedoen,participate / join in / get involved
bruiloft,wedding
opgeven,sign up